"Time (s),""Acceleration x (m/s^2)"",""Acceleration y (m/s^2)"",""Acceleration z (m/s^2)"",""Absolute acceleration (m/s^2)"""
"2.815246580E-1,-2.028427124E0,8.584442139E-1,9.979965210E0,1.022013447E1"
"2.854614260E-1,-1.990127563E0,8.201446533E-1,9.999130249E0,1.022818902E1"
"2.893371580E-1,-1.932662964E0,7.435302734E-1,1.001828003E1,1.023005172E1"
"2.932739260E-1,-1.913513184E0,6.286010742E-1,9.979965210E0,1.018117761E1"
"2.971801760E-1,-1.836898804E0,5.519866943E-1,9.865051270E0,1.004978224E1"
"3.010864260E-1,-1.798583984E0,4.562225342E-1,9.807586670E0,9.981573004E0"
"3.049926760E-1,-1.721969604E0,4.370727539E-1,9.730972290E0,9.891816498E0"
"3.088989260E-1,-1.568740845E0,5.519866943E-1,9.711822510E0,9.853178858E0"
"3.128051760E-1,-1.453826904E0,5.903015137E-1,9.654357910E0,9.781037532E0"
"3.167114260E-1,-1.530441284E0,4.945373535E-1,9.501129150E0,9.636299749E0"
"3.206176760E-1,-1.549591064E0,4.562225342E-1,9.386215210E0,9.524201144E0"
"3.245544430E-1,-1.472976685E0,3.796081543E-1,9.271286011E0,9.395238526E0"
"3.284606930E-1,-1.262283325E0,3.221435547E-1,9.194671631E0,9.286502144E0"
"3.323669430E-1,-1.109054565E0,1.880798340E-1,9.213821411E0,9.282234701E0"
"3.365173340E-1,-9.175262451E-1,-6.092834473E-2,9.213821411E0,9.259593494E0"
"3.401794430E-1,-8.600616455E-1,-2.141571045E-1,9.252136230E0,9.294492677E0"
"3.440856930E-1,-8.600616455E-1,-3.865356445E-1,9.367050171E0,9.414390301E0"
"3.479919430E-1,-9.558258057E-1,-5.780639648E-1,9.520278931E0,9.585586671E0"
"3.519287110E-1,-1.051589966E0,-5.589141846E-1,9.711822510E0,9.784565549E0"
"3.558349610E-1,-1.109054565E0,-4.440002441E-1,9.865051270E0,9.937121052E0"
"3.597412110E-1,-1.089904785E0,-2.333068848E-1,1.001828003E1,1.008009223E1"
"3.636474610E-1,-1.051589966E0,-1.183776855E-1,1.009489441E1,1.015020925E1"
"3.675537110E-1,-1.089904785E0,1.568603516E-2,1.024812317E1,1.030592873E1"
"3.714599610E-1,-1.166519165E0,5.400085449E-2,1.042050171E1,1.048573025E1"
"3.753662110E-1,-1.243133545E0,1.568603516E-2,1.053543091E1,1.060853107E1"
"3.792724610E-1,-1.319747925E0,-1.375427246E-1,1.051626587E1,1.059964624E1"
"3.832092280E-1,-1.338897705E0,-2.524566650E-1,1.045881653E1,1.054719037E1"
"3.871154780E-1,-1.281433105E0,-3.290710449E-1,1.038220215E1,1.046615880E1"
"3.910217280E-1,-1.185668945E0,-4.440002441E-1,1.022897339E1,1.030702885E1"
"3.949279780E-1,-1.070755005E0,-5.206146240E-1,1.013319397E1,1.020290037E1"
"3.988342280E-1,-9.941406250E-1,-5.972290039E-1,9.979965210E0,1.004712415E1"
"4.027404780E-1,-9.175262451E-1,-6.546783447E-1,9.865051270E0,9.929234346E0"
"4.066467280E-1,-9.175262451E-1,-7.121429443E-1,9.807586670E0,9.876120608E0"
"4.105529780E-1,-9.175262451E-1,-7.312927246E-1,9.826736450E0,9.896534379E0"
"4.144897460E-1,-8.983612061E-1,-6.929931641E-1,9.903350830E0,9.968131723E0"
"4.183959960E-1,-9.366760254E-1,-6.738433838E-1,1.005657959E1,1.012255995E1"
"4.223022460E-1,-9.366760254E-1,-6.929931641E-1,1.007574463E1,1.014289068E1"
"4.262084960E-1,-8.792114258E-1,-6.929931641E-1,1.011404419E1,1.017581162E1"
"4.301147460E-1,-8.025970459E-1,-6.929931641E-1,1.011404419E1,1.016947842E1"
"4.340209960E-1,-6.876831055E-1,-7.121429443E-1,1.003742981E1,1.008613171E1"
"4.379577640E-1,-6.110687256E-1,-6.929931641E-1,9.960815430E0,1.000357379E1"
"4.418640140E-1,-5.344543457E-1,-6.738433838E-1,9.807586670E0,9.845225373E0"
"4.457702640E-1,-5.152893066E-1,-6.355285645E-1,9.654357910E0,9.688965181E0"
"4.496765140E-1,-4.961395264E-1,-6.163787842E-1,9.462829590E0,9.495852836E0"
"4.536132810E-1,-5.344543457E-1,-5.972290039E-1,9.309600830E0,9.344035078E0"
"4.575195310E-1,-5.536041260E-1,-6.163787842E-1,9.175521851E0,9.212849807E0"
"4.613952640E-1,-5.536041260E-1,-6.738433838E-1,9.156372070E0,9.197809083E0"
"4.653015140E-1,-6.302185059E-1,-6.738433838E-1,9.156372070E0,9.202738166E0"
"4.692687990E-1,-6.493682861E-1,-6.929931641E-1,9.232986450E0,9.281700140E0"
"4.731750490E-1,-5.344543457E-1,-5.397644043E-1,9.252136230E0,9.283265152E0"
"4.770812990E-1,-4.961395264E-1,-3.673858643E-1,9.309600830E0,9.330047932E0"
"4.809875490E-1,-4.195251465E-1,-3.482208252E-1,9.405364990E0,9.421154371E0"
"4.848937990E-1,-3.812255859E-1,-5.589141846E-1,9.558593750E0,9.582506587E0"
"4.888000490E-1,-5.919036865E-1,-8.462219238E-1,9.769287109E0,9.823716819E0"
"4.926757810E-1,-7.451324463E-1,-1.037750244E0,9.941665649E0,1.002341578E1"
"4.965820310E-1,-8.217468262E-1,-1.114364624E0,9.903350830E0,9.999671696E0"
"5.005187990E-1,-7.259826660E-1,-1.018600464E0,9.826736450E0,9.906025792E0"
"5.044250490E-1,-5.344543457E-1,-9.419860840E-1,9.654357910E0,9.714916669E0"
"5.083312990E-1,-4.578399658E-1,-9.228363037E-1,9.520278931E0,9.575852714E0"
"5.122680660E-1,-3.812255859E-1,-9.419860840E-1,9.405364990E0,9.460103664E0"
"5.161743160E-1,-3.046112061E-1,-1.037750244E0,9.328750610E0,9.391235356E0"
"5.202941890E-1,-2.854461670E-1,-1.114364624E0,9.367050171E0,9.437421095E0"
"5.240173340E-1,-2.279968262E-1,-1.152679443E0,9.405364990E0,9.478477887E0"
"5.279235840E-1,-2.279968262E-1,-1.171829224E0,9.520278931E0,9.594835965E0"
"5.317993160E-1,-2.471466064E-1,-1.267593384E0,9.711822510E0,9.797314474E0"
"5.357360840E-1,-3.237609863E-1,-1.420822144E0,9.903350830E0,1.000999073E1"
"5.396423340E-1,-3.812255859E-1,-1.574050903E0,1.009489441E1,1.022398466E1"
"5.435485840E-1,-4.195251465E-1,-1.746444702E0,1.019065857E1,1.034773369E1"
"5.474548340E-1,-4.003753662E-1,-1.803909302E0,1.020980835E1,1.037567230E1"
"5.513916010E-1,-3.237609863E-1,-1.765594482E0,1.022897339E1,1.038528005E1"
"5.552978510E-1,-3.237609863E-1,-1.784744263E0,1.026727295E1,1.042626621E1"
"5.592041010E-1,-3.620605469E-1,-1.803909302E0,1.020980835E1,1.037426446E1"
"5.630798340E-1,-4.386749268E-1,-1.861358643E0,1.009489441E1,1.027443355E1"
"5.669860840E-1,-5.344543457E-1,-1.842208862E0,9.941665649E0,1.012502300E1"
"5.709228510E-1,-6.110687256E-1,-1.880523682E0,9.807586670E0,1.000492532E1"
"5.748596190E-1,-6.493682861E-1,-1.899673462E0,9.730972290E0,9.935907615E0"
"5.787353510E-1,-5.536041260E-1,-1.937973022E0,9.788436890E0,9.993783753E0"
"5.826416010E-1,-4.961395264E-1,-1.976287842E0,9.769287109E0,9.979520965E0"
"5.865783690E-1,-2.471466064E-1,-2.033752441E0,9.807586670E0,1.001928075E1"
"5.904846190E-1,-1.513824463E-1,-2.148666382E0,9.903350830E0,1.013489228E1"
"5.943908690E-1,-1.130676270E-1,-2.244430542E0,1.005657959E1,1.030461284E1"
"5.982971190E-1,-3.645324707E-2,-2.129516602E0,1.015235901E1,1.037335834E1"
"6.022033690E-1,-1.730346680E-2,-2.052902222E0,1.040135193E1,1.060202004E1"
"6.061096190E-1,-2.088317871E-1,-2.014587402E0,1.078442383E1,1.097296543E1"
"6.100158690E-1,-4.003753662E-1,-2.033752441E0,1.130157471E1,1.149008443E1"
"6.140441890E-1,-7.451324463E-1,-2.244430542E0,1.179956055E1,1.203421455E1"
"6.178283690E-1,-8.409118652E-1,-2.435974121E0,1.229756165E1,1.256467768E1"
"6.217346190E-1,-9.175262451E-1,-2.570053101E0,1.269978333E1,1.298966989E1"
"6.256408690E-1,-9.366760254E-1,-2.646667480E0,1.289132690E1,1.319350295E1"
"6.295471190E-1,-9.366760254E-1,-2.627502441E0,1.298709106E1,1.328328519E1"
"6.334533690E-1,-8.025970459E-1,-2.589202881E0,1.302539062E1,1.330447047E1"
"6.373596190E-1,-9.366760254E-1,-2.589202881E0,1.300624084E1,1.329449640E1"
"6.412963870E-1,-9.749755859E-1,-2.512588501E0,1.283386230E1,1.311379808E1"
"6.452026370E-1,-9.558258057E-1,-2.359359741E0,1.275724792E1,1.300874921E1"
"6.491088870E-1,-1.070755005E0,-2.282745361E0,1.269978333E1,1.294766153E1"
"6.530151370E-1,-1.281433105E0,-2.282745361E0,1.269978333E1,1.296678425E1"
"6.569213870E-1,-1.377212524E0,-2.321044922E0,1.262316895E1,1.290846072E1"
"6.608276370E-1,-1.415512085E0,-2.455123901E0,1.254655457E1,1.286263345E1"
"6.647338870E-1,-1.568740845E0,-2.531738281E0,1.241247559E1,1.276480304E1"
"6.686706540E-1,-1.472976685E0,-2.512588501E0,1.231671143E1,1.265638738E1"
"6.725769040E-1,-2.239120483E0,-2.052902222E0,1.210601807E1,1.248133573E1"
"6.764831540E-1,-2.181655884E0,-1.784744263E0,1.170379639E1,1.203842948E1"
"6.803894040E-1,-1.377212524E0,-2.129516602E0,1.162718201E1,1.190054271E1"
"6.842956540E-1,-1.089904785E0,-2.646667480E0,1.133987427E1,1.169553289E1"
"6.882019040E-1,-9.366760254E-1,-2.857345581E0,1.066949463E1,1.108512072E1"
"6.921081540E-1,-7.068328857E-1,-2.914810181E0,9.884201050E0,1.032923819E1"
"6.960449220E-1,-2.088317871E-1,-3.010574341E0,9.424514771E0,9.895890422E0"
"6.999511720E-1,3.466186523E-1,-3.297882080E0,9.367050171E0,9.936689570E0"
"7.040710450E-1,8.637695312E-1,-3.642654419E0,9.405364990E0,1.012303905E1"
"7.077636720E-1,1.170227051E0,-4.083175659E0,9.347900391E0,1.026766753E1"
"7.116699220E-1,1.131912231E0,-4.408798218E0,9.022293091E0,1.010546880E1"
"7.155761720E-1,1.227691650E0,-4.600326538E0,8.562606812E0,9.797370385E0"
"7.194824220E-1,1.055297852E0,-4.523712158E0,8.083770752E0,9.323356414E0"
"7.233886720E-1,1.400070190E0,-4.389633179E0,7.681533813E0,8.957401281E0"
"7.273254390E-1,1.591598511E0,-4.236404419E0,7.355926514E0,8.636548101E0"
"7.312316890E-1,1.457534790E0,-3.910797119E0,6.915390015E0,8.077212442E0"
"7.351379390E-1,1.189376831E0,-3.470260620E0,6.570632935E0,7.525326782E0"
"7.390441890E-1,1.074462891E0,-3.125503540E0,6.398239136E0,7.201437837E0"
"7.429504390E-1,1.151077271E0,-2.991424561E0,6.417404175E0,7.173330895E0"
"7.468566890E-1,1.170227051E0,-3.010574341E0,6.455703735E0,7.218663306E0"
"7.507629390E-1,1.055297852E0,-3.106353760E0,6.379089355E0,7.173274583E0"
"7.546997070E-1,7.488403320E-1,-3.240417480E0,6.168395996E0,7.007865328E0"
"7.586059570E-1,5.381622314E-1,-3.393646240E0,5.900253296E0,6.827843169E0"
"7.625122070E-1,4.040832520E-1,-3.451110840E0,5.766174316E0,6.732177623E0"
"7.664184570E-1,3.657684326E-1,-3.355346680E0,5.804489136E0,6.714479281E0"
"7.703247070E-1,3.083190918E-1,-3.125503540E0,5.861938477E0,6.650274862E0"
"7.742309570E-1,1.742401123E-1,-2.684967041E0,5.900253296E0,6.484781923E0"
"7.781372070E-1,1.359252930E-1,-2.282745361E0,5.881103516E0,6.310053933E0"
"7.820434570E-1,4.016113281E-2,-1.842208862E0,5.957717896E0,6.236164601E0"
"7.859802240E-1,-1.322174072E-1,-1.478286743E0,6.091781616E0,6.269977384E0"
"7.898864740E-1,-4.386749268E-1,-1.267593384E0,6.206710815E0,6.349999041E0"
"7.937927240E-1,-6.302185059E-1,-1.018600464E0,6.302474976E0,6.415287452E0"
"7.976989740E-1,-1.130676270E-1,-6.738433838E-1,5.957717896E0,5.996770107E0"
"8.016052240E-1,-4.003753662E-1,-5.589141846E-1,6.283325195E0,6.320827557E0"
"8.055114740E-1,-7.642974854E-1,-5.206146240E-1,6.513168335E0,6.578491620E0"
"8.094177240E-1,-9.749755859E-1,-4.248352051E-1,6.551467896E0,6.637227880E0"
"8.133544920E-1,-9.749755859E-1,-4.248352051E-1,6.436553955E0,6.523824734E0"
"8.172607420E-1,-8.025970459E-1,-4.056854248E-1,6.187561035E0,6.252571811E0"
"8.211669920E-1,-6.110687256E-1,-4.248352051E-1,5.957717896E0,6.004023023E0"
"8.251037600E-1,-3.429107666E-1,-4.248352051E-1,5.747024536E0,5.772899078E0"
"8.290100100E-1,1.861572266E-3,-4.056854248E-1,5.517181396E0,5.532076888E0"
"8.329162600E-1,2.125396729E-1,-4.631500244E-1,5.325637817E0,5.349962544E0"
"8.368225100E-1,5.764617920E-1,-4.056854248E-1,5.287338257E0,5.334119862E0"
"8.407592770E-1,4.615478516E-1,-5.589141846E-1,5.363952637E0,5.412707213E0"
"8.446350100E-1,2.125396729E-1,-6.929931641E-1,5.574645996E0,5.621573678E0"
"8.485717770E-1,-5.560302734E-2,-8.462219238E-1,5.842788696E0,5.904012448E0"
"8.524780270E-1,-4.195251465E-1,-1.056915283E0,6.245010376E0,6.347694531E0"
"8.563537600E-1,-6.685180664E-1,-1.229293823E0,6.934539795E0,7.074314234E0"
"8.602600100E-1,-7.642974854E-1,-1.344207764E0,7.815612793E0,7.967110423E0"
"8.641662600E-1,-7.259826660E-1,-1.439987183E0,8.888214111E0,9.033325191E0"
"8.680725100E-1,-5.919036865E-1,-1.554901123E0,1.017150879E1,1.030668029E1"
"8.720092770E-1,-4.003753662E-1,-1.765594482E0,1.156971741E1,1.171050747E1"
"8.759155270E-1,-1.705322266E-1,-1.995437622E0,1.294877625E1,1.310273478E1"
"8.798217770E-1,2.101135254E-2,-2.282745361E0,1.421292114E1,1.439508580E1"
"8.837280270E-1,4.016113281E-2,-2.627502441E0,1.534298706E1,1.556639438E1"
"8.876342770E-1,-1.322174072E-1,-2.991424561E0,1.653050232E1,1.679951217E1"
"8.915405270E-1,-3.429107666E-1,-3.336196899E0,1.771803284E1,1.803265053E1"
"8.954772950E-1,-4.769897461E-1,-3.489425659E0,1.898216248E1,1.930611569E1"
"8.993835450E-1,-4.769897461E-1,-3.451110840E0,1.988238525E1,2.018531468E1"
"9.032897950E-1,-5.536041260E-1,-3.393646240E0,2.026545715E1,2.055509830E1"
"9.072265620E-1,-7.068328857E-1,-3.393646240E0,2.030377197E1,2.059756306E1"
"9.111328120E-1,-8.983612061E-1,-3.431961060E0,2.024630737E1,2.055476519E1"
"9.150390620E-1,-1.032440186E0,-3.527725220E0,2.013139343E1,2.046420728E1"
"9.189453120E-1,-1.128204346E0,-3.757568359E0,1.999731445E1,2.037853651E1"
"9.228515620E-1,-1.128204346E0,-3.949111938E0,1.980577087E1,2.022713252E1"
"9.267883300E-1,-1.070755005E0,-4.159790039E0,1.949931335E1,1.996681223E1"
"9.306640620E-1,-8.983612061E-1,-4.351333618E0,1.905879211E1,1.956984195E1"
"9.345703120E-1,-6.876831055E-1,-4.504562378E0,1.852247620E1,1.907475071E1"
"9.384765620E-1,-4.769897461E-1,-4.600326538E0,1.792872620E1,1.851566219E1"
"9.423828120E-1,-4.003753662E-1,-4.657791138E0,1.733496094E1,1.795428053E1"
"9.462890620E-1,-4.195251465E-1,-4.676940918E0,1.668373108E1,1.733195489E1"
"9.502258300E-1,-5.152893066E-1,-4.696090698E0,1.589843750E1,1.658550891E1"
"9.541320800E-1,-4.961395264E-1,-4.600326538E0,1.503652954E1,1.573233547E1"
"9.580383300E-1,-2.279968262E-1,-4.332183838E0,1.417460632E1,1.482360495E1"
"9.619445800E-1,1.359252930E-1,-4.006561279E0,1.331269836E1,1.390319915E1"
"9.658508300E-1,5.764617920E-1,-3.546875000E0,1.246994019E1,1.297736640E1"
"9.697570800E-1,9.786834717E-1,-2.933959961E0,1.164633179E1,1.205002019E1"
"9.736938480E-1,1.285140991E0,-2.397659302E0,1.084188843E1,1.117796503E1"
"9.776000980E-1,1.514984131E0,-1.937973022E0,1.007574463E1,1.037167037E1"
"9.815063480E-1,1.649063110E0,-1.612365723E0,9.309600830E0,9.591027056E0"
"9.854125980E-1,1.706527710E0,-1.382522583E0,8.677520752E0,8.951143610E0"
"9.893188480E-1,1.783142090E0,-1.229293823E0,8.083770752E0,8.368877379E0"
"9.932250980E-1,1.802291870E0,-1.114364624E0,7.451690674E0,7.747112907E0"
"9.971313480E-1,1.917221069E0,-1.018600464E0,6.781311035E0,7.120355531E0"
"1.001037598E0,1.783142090E0,-1.037750244E0,6.130096436E0,6.467967501E0"
"1.004974365E0,1.400070190E0,-9.994506836E-1,5.517181396E0,5.779133912E0"
"1.008880615E0,1.629913330E0,-7.312927246E-1,4.865951538E0,5.183521089E0"
"1.012786865E0,1.840606689E0,-4.440002441E-1,4.348815918E0,4.743118077E0"
"1.016693115E0,1.917221069E0,-9.922790527E-2,4.023193359E0,4.457764867E0"
"1.020599365E0,1.783142090E0,2.646942139E-1,3.678436279E0,4.096407231E0"
"1.024505615E0,1.534149170E0,4.370727539E-1,3.314514160E0,3.678403239E0"
"1.028411865E0,1.265991211E0,4.370727539E-1,2.969741821E0,3.257780352E0"
"1.032348633E0,1.170227051E0,3.413085938E-1,2.797363281E0,3.051420036E0"
"1.036254883E0,1.131912231E0,1.689147949E-1,2.644134521E0,2.881181160E0"
"1.040161133E0,1.036148071E0,-8.007812500E-2,2.529220581E0,2.734405251E0"
"1.044067383E0,9.403839111E-1,-2.524566650E-1,2.471755981E0,2.656620767E0"
"1.047973633E0,8.446197510E-1,-2.524566650E-1,2.395141602E0,2.552218679E0"
"1.051910400E0,6.913909912E-1,-2.333068848E-1,2.375991821E0,2.485516192E0"
"1.055816650E0,5.764617920E-1,-2.261352539E-2,2.433441162E0,2.500890933E0"
"1.059722900E0,5.381622314E-1,1.880798340E-1,2.471755981E0,2.536645471E0"
"1.063629150E0,3.849334717E-1,2.646942139E-1,2.605834961E0,2.647378448E0"
"1.067535400E0,2.125396729E-1,2.263793945E-1,2.586669922E0,2.605241261E0"
"1.071441650E0,1.167755127E-1,1.880798340E-1,2.548370361E0,2.557968343E0"
"1.075347900E0,9.762573242E-2,9.230041504E-2,2.529220581E0,2.532786390E0"
"1.079254150E0,9.762573242E-2,-3.463745117E-3,2.586669922E0,2.588513872E0"
"1.083160400E0,2.125396729E-1,-9.922790527E-2,2.739898682E0,2.749920740E0"
"1.087097168E0,4.615478516E-1,-2.524566650E-1,2.988906860E0,3.034851727E0"
"1.091003418E0,7.105407715E-1,-3.865356445E-1,3.257049561E0,3.355987162E0"
"1.094909668E0,8.829193115E-1,-5.589141846E-1,3.582656860E0,3.731938070E0"
"1.098815918E0,9.978485107E-1,-7.312927246E-1,3.927429199E0,4.117668128E0"
"1.102722168E0,9.403839111E-1,-9.228363037E-1,4.348815918E0,4.544023397E0"
"1.106628418E0,6.722259521E-1,-1.210144043E0,4.885116577E0,5.077469873E0"
"1.110565185E0,3.849334717E-1,-1.516601562E0,5.593795776E0,5.808511450E0"
"1.114471435E0,1.550903320E-1,-1.880523682E0,6.513168335E0,6.780986955E0"
"1.118377685E0,-7.475280762E-2,-2.359359741E0,7.624069214E0,7.981140128E0"
"1.122283935E0,-2.854461670E-1,-2.761581421E0,8.983978271E0,9.403173775E0"
"1.126190185E0,-4.003753662E-1,-3.355346680E0,1.059288025E1,1.111880226E1"
"1.130096435E0,-4.769897461E-1,-3.853332520E0,1.237417603E1,1.296903709E1"
"1.134033203E0,-6.876831055E-1,-4.370483398E0,1.411715698E1,1.479419327E1"
"1.137939453E0,-9.366760254E-1,-4.945098877E0,1.599420166E1,1.676740444E1"
"1.141876221E0,-1.070755005E0,-5.481399536E0,1.783294678E1,1.868706098E1"
"1.145782471E0,-1.051589966E0,-5.902770996E0,1.969085693E1,2.058344951E1"
"1.149688721E0,-7.642974854E-1,-6.094314575E0,2.164451599E1,2.249910872E1"
"1.153594971E0,-3.812255859E-1,-6.324157715E0,2.346411133E1,2.430441985E1"
"1.157501221E0,-1.513824463E-1,-6.573150635E0,2.468994141E1,2.555039007E1"
"1.161621094E0,-3.046112061E-1,-6.956222534E0,2.524540710E1,2.618802016E1"
"1.165344238E0,-6.876831055E-1,-7.339294434E0,2.532202148E1,2.637314776E1"
"1.169219971E0,-9.749755859E-1,-7.684066772E0,2.488148499E1,2.605923550E1"
"1.173156738E0,-1.128204346E0,-7.856445312E0,2.423025513E1,2.549709477E1"
"1.177032471E0,-1.109054565E0,-7.837295532E0,2.340666199E1,2.470880468E1"
"1.180938721E0,-1.013290405E0,-7.760681152E0,2.250643921E1,2.382844383E1"
"1.184875488E0,-1.013290405E0,-7.607452393E0,2.114653015E1,2.249612915E1"
"1.188781738E0,-9.366760254E-1,-7.224380493E0,2.095498657E1,2.218514137E1"
